Data	Produção	Engenharia	Terceiros	Compras	Comercial	Pcp	Expedição	Qualidade	Transporte	Total
01/14	R$ 3.489,00	R$ 16.198,42	R$ 1.285,00	R$ 0,00	R$ 0,00	R$ 10,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 20.982,42
02/14	R$ 5.141,00	R$ 4.037,50	R$ 3.922,50	R$ 1.040,00	R$ 0,00	R$ 170,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 14.311,00
03/14	R$ 11.737,23	R$ 43.226,84	R$ 4.858,00	R$ 12,50	R$ 0,00	R$ 25,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 59.859,57
04/14	R$ 12.414,55	R$ 3.886,94	R$ 1.110,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 5.200,00	R$ 0,00	R$ 0,00	R$ 22.611,49
05/14	R$ 4.692,44	R$ 7.957,66	R$ 826,48	R$ 125,63	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 13.602,21
06/14	R$ 7.253,83	R$ 3.355,55	R$ 410,00	R$ 642,17	R$ 0,00	R$ 0,00	R$ 0,00	R$ 25,00	R$ 45,00	R$ 11.731,55
07/14	R$ 5.660,89	R$ 3.568,30	R$ 2.827,50	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 12.056,69
08/14	R$ 5.485,08	R$ 3.439,44	R$ 565,00	R$ 25,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 9.514,52
09/14	R$ 6.670,13	R$ 5.804,72	R$ 715,00	R$ 50,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 13.239,85
10/14	R$ 5.288,41	R$ 3.392,45	R$ 4.050,15	R$ 0,00	R$ 0,00	R$ 25,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 12.756,01
11/14	R$ 5.542,73	R$ 5.124,36	R$ 445,00	R$ 135,70	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 11.247,79
12/14	R$ 4.162,06	R$ 2.188,26	R$ 524,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 6.874,32
									Total ano:	R$ 208.787,42
										
01/15	R$ 5.568,84	R$ 13.800,60	R$ 485,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 19.854,44
02/15	R$ 6.910,13	R$ 9.794,85	R$ 930,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 17.634,98
03/15	R$ 5.861,84	R$ 13.610,00	R$ 1.495,00	R$ 40,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 21.006,84
04/15	R$ 5.619,41	R$ 7.847,50	R$ 3.120,00	R$ 100,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 16.686,91
05/15	R$ 7.179,15	R$ 18.663,29	R$ 4.485,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 30.327,44
06/15	R$ 6.060,86	 R$ 21.383,46 	R$ 4.153,82	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 31.598,14
07/15	R$ 6.779,85	R$ 5.282,84	R$ 505,00	R$ 0,00	R$ 25,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 12.592,69
08/15	R$ 4.540,19	R$ 3.879,49	R$ 460,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 8.879,68
09/15	R$ 1.812,38	R$ 927,50	R$ 215,53	R$ 0,00	R$ 0,00	R$ 100,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 3.055,41
10/15	R$ 42.897,78	R$ 1.165,64	R$ 295,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 44.358,42
11/15	R$ 3.198,75	R$ 1.257,83	R$ 215,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 4.671,58
12/15	R$ 1.099,10	R$ 1.898,02	R$ 25,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 0,00	R$ 50,00	R$ 3.072,12
									Total ano:	R$ 213.738,65
