Nº RNC	DESENHO	MP	REVISÃO	POS	CV	EQUIPAMENTO	CONJUNTO	MODELO	DESCRIÇÃO DO DESENHO	QUANTIDADE	CLIENTE	MATERIAL	ORDEM DE COMPRA	RESPONSÁVEL	INSPETOR	DATA EMISSÃO	ÁREA RESPONSÁVEL	SETOR	DESCRIÇÃO DA RNC	INSTRUÇÃO PARA RETRABALHO	CAUSA DA RNC	JUSTIFICATIVA	VALOR
30264	P86GAM4727	1	1		010.889	Sistema guia corda	Montagem		Subconjunto polia simples	03	Citroplast			Cintia das Graças Kosiba	Ronaldo	02-Jan-23	Engenharia		"Alterado quantidade da posição 1, 2, 4, 7, 8 e 9."	Conforme pede a revisão.	Alteração.		R$ 100.00
30266	P70RAM9707	1	3		010.202	Rebobinadeira	Ejetor de bobinas		Braço ejetor LA	01	Papelão União	SAE1020		Tajin	Ronaldo	03-Jan-23	Engenharia		Incluso simbolo de usinagem.	Conforme revisão.	Erro.		R$ 100.00
30267	P70CAM1206	2	3		021.167	Rebobinadeira	Módulo de corte		Contra facas	04	Bragagnolo	VC131		Lucco	Ronaldo	02-Jan-23	Terceiros		Peças fora de medidas.	Novas.	Erro.		R$ 100.00
30268	P10FAM6604	1	1		021.697	Caixa de entrada	Base móvel		Peças dobradas da base móvel	01	Papelão União	AISI304L		Vagner da Silva	Ronaldo	02-Jan-23	Engenharia		Alteração do comprimento dos itens 1 (-18mm) e 2 (-12mm).	Conforme revisão.	Erro.		R$ 100.00
30269	P70RAM9708	1	4		010.202	Rebobinadeira	Ejetor de bobinas		Braço do ejetor LC	01	Papelão União	SAE1020		Tajin	Ronaldo	03-Jan-23	Engenharia		Incluso simbolo de usinagem.	Usinar conforme revisão.	Erro.		R$ 100.00
30270	P00POM0120	3	1		001.947	Ampliação da MP3	Suporte do mancal		Parafuso com olhal	104	Valinhos	Aço forjado		Daiane Pedroso Bueno	Ronaldo	03-Jan-23	Engenharia		Falta indicação de cor.	Conforme revisão.	Erro.		R$ 100.00
30271	P95RAM1402	2	1		021.198	Size press	Rolo fixo móvel		Ponteira LC	2	Isidoro e Moraes	EM-GJS-700-2		Cláudio Brandão	Ronaldo	03-Jan-23	Engenharia		Inclusão de medidas que estavam aguardando informação do cliente.	Conforme revisão.	Erro.		R$ 100.00
30272	P70SAM9720	1	0		010.202	Rebobianadeira	Passagem de ponta		Base suporte do atuador	01	Papelão União	SAE1020		Leonel Joselei da Silva	Ronaldo	03-Jan-23	Produção	Usinagem Plana	Peida no desenho furação entre centro de M20x220mm e ficou com M20x200mm.	Conforme revisão.	Erro.		R$ 163.85
30273	P82GDM3803	1	0		021.970	Rolo guia acionador	"Rolo guia Ø10"""		Polia Ø270	01	Sengés	EM-GJL-200		Fundição Campos Gerais	Ronaldo	04-Jan-23	Terceiros		Falha fundição.	Nova.	Erro		R$ 108.82
30274	P22FAM7400	1	1		010.202	Desenroladeira	Montagem		Freio Ø500	1	Papelão União			Cláudio Brandão	Ronaldo	04-Jan-23	Engenharia		"Acrescentado posição 43, detalhe de marcação de roscas."	Conforme revisão.	Erro.		R$ 100.00
30275	P70FAM9724	1	3		010.202	Rebobinadeira	Subconjunto cursor		Eixo do cursor	01	Papelão União	SAE1045		Cláudio Brandão	Ronaldo	04-Jan-23	Engenharia		Atualização da legenda e ajuste da tolerância.	Conforme revisão.	Erro.		R$ 536.00
30276	P70FAM9703	1	2		010.202	Rebobinadeira	Fixador de tubetes		Subconjunto do cursor	01	Papelão União			Willyan Carlos Melotti	Ronaldo	04-Jan-23	Engenharia		"Atualização da posição 4, alteração do tipo de bucha deslizante para bronze SAE65 e indicação de usinagem da face externa da bucha."	Conforme revisão.	Faltou pedir bucha.		R$ 134.00
30277	P22GAM0715	1	0		010.202	Desenroladeira	Posicionador		Mancal fuso posicionador	01	Papelão União			Fundição Campos Gerais	Ronaldo	04-Jan-23	Terceiros		Falha de fundição.	Fundir nova.	Falha fundição.		R$ 100.00
30278	P70FAM9700	1	3		010.202	Rebobiandeira	Montagem		Conjunto fixador de tubete	01	Papelão União			Willyan Carlos Melotti	Ronaldo	05-Jan-23	Engenharia		"Atualização das dimensões dos atuador horizontal do fixador de tubetes e seus desenhos, atualização das posições 1 e 2, modificação do comprimento do parafuso posição 5."	Conforme revisão.	Erro.		R$ 536.00
30279	P70PAM9700	1	5		010.202	Rebobinadeira	Montagem		Conjunto rolo pressor	01	Papelão União			Willyan Carlos Melotti	Ronaldo	05-Jan-23	Engenharia		Alterado comprimento do parafuso posição 18.	Conforme pede a revisão.	Erro.		R$ 134.00
30280	P22FAM7210	01	0		010.202	Desenroladeira	Freio		Detalhe da marcação de roscsa SN522	2	Papelão União			Cláudio Brandão	Ronaldo	05-Jan-23	Engenharia		Pediu no desenho cor verde ral 6011 o correto é azul ral 5010.	Conforme revisão.	Erro.		R$ 100.00
30281	P70SAM9716	1	3		010.202	Rebobinadeira	Passagem de ponta		Calha intermediária	01	Papelão União	SAE1020		Willyan Carlos Melotti	Ronaldo	05-Jan-23	Engenharia		Alterado furação de Ø12 para Ø14mm.	Furar conforme revisão.	Erro.		R$ 139.89
30282	P70EAM9783	1	1		010.202	Rebobinadeira	Estrutura		Coluna traseira	01	Papelão União	SAE1020		Evellyn Taianara Mello	Ronaldo	05-Jan-23	Engenharia		Incluso furação M12.	Furar peças conforme pede a revisão.	Erro.		R$ 100.00
30283	P70EAM9712	1	2		010.202	Rebobinadeira	Estrutura		Coluna traseira	01	Papelão União	SAE1020		Evellyn Taianara Mello	Ronaldo	05-Jan-23	Engenharia		Incluso furação M12.	Furar peça conforme pede a revisão.	Erro.		R$ 100.00
30284	P70FAM9701	1	4		010.202	Rebobinadeira	Fixador de tubete		Conjunto limitador	01	Papelão União			Willyan Carlos Melotti	Ronaldo	05-Jan-23	Engenharia		"Atualização da posição 1, 3 e atualização da revisão 3, comprimento da posição 17 para 20mm sem indicar comrpimento."	Conforme revisão.	Erro de projeto.		"R$ 1,072.00"
30285	P22EAM7420	1	1		010.202	Desenroladeira	Engate rápido		Engrenagem	01	Papelão União	SAE4340		Cláudio Brandão	Ronaldo	05-Jan-23	Engenharia		Alterado Ø do furo de 21mm para Ø25mm e de Ø15mm para Ø17mm.	Furar conforme pede a revisão.	Erro.		R$ 100.00
30286	P70TAM9705	1	1		010.202	Rebobinadeira	Mesa tandem		Fixador do eixo	02	Papelão União			Evellyn Taianara Mello	Ronaldo	05-Jan-23	Engenharia		Retirado 1mm da cota de 34mm.	Conforme revisão.	Erro.		R$ 100.00
30287	P70RAM9708	01	05		010.202	Rebobinadeira	Ejetor de bobinas		Braço ejetor	01	Papelão União	SAE1020		Evellyn Taianara Mello	Ronaldo	06-Jan-23	Engenharia		"Diminuido 1mm das cotas de 31,5 era 32,5 e aumentado 2mm da cota de 7 era 5mm."	Conforme revisão.	Erro.		R$ 100.00
30288	P70RAM9707	1	4		010.202	Rebobinadeira	Ejetor de bobinas		Braço do ejetor LA	01	Papelão União	SAE1020		Evellyn Taianara Mello	Ronaldo	06-Jan-23	Engenharia		"Diminuido 1mm das cotas de 31,5 era 32,5 e aumentado 2mm da cota 7 era 5."	Usinar conforme revisão.	Erro.		R$ 100.00
30289	P70PAM9755	01	03		010.202	Rebobianadeira	Rolo pressor		Esteira porta cabos	01	Papelão União			Willyan Carlos Melotti	Ronaldo	06-Jan-23	Engenharia		Modificação do porta cabos para um com raio menor.	Novo.	Erro.		R$ 804.00
30290	P10LAM6602	01	0		021.697	Caixa	Lábio supeiror		Lábio superior	01	Papelão União	AISI316		Vagner da Silva	Ronaldo	09-Jan-23	Engenharia		Indicou furos Ø17 onde precisa ser 12mm.	Corrigir.	Erro.		R$ 421.46
